#State		Democratic		Republican		Other
"Alabama"	"AL"	608809	1	1416012	6	26838	0
"Alaska"	"AK"	159856	0	192126	1	1183	0
"Arizona"	"AZ"	1629337	5	1638596	4	316	0
"Arkansas"	"AR"	330485	0	828266	4	20645	0
"California"	"CA"	10854967	42	6121235	11	0	0
"Colorado"	"CO"	1679052	4	1378248	3	107650	0
"Connecticut"	"CT"	1022792	5	676650	0	73476	0
"Delaware"	"DE"	281382	1	196392	0	10496	0
"Florida"	"FL"	4942287	11	5469164	16	53340	0
"Georgia"	"GA"	2393089	6	2490396	8	0	0
"Hawaii"	"HI"	354762	2	155215	0	16558	0
"Idaho"	"ID"	255531	0	561405	2	32973	0
"Illinois"	"IL"	3355487	13	2416929	5	104401	0
"Indiana"	"IN"	1194901	2	1738745	7	62798	0
"Iowa"	"IA"	762271	1	859418	3	17774	0
"Kansas"	"KS"	557258	1	775898	3	25797	0
"Kentucky"	"KY"	735419	1	1363964	5	16512	0
"Louisiana"	"LA"	727402	1	1244254	5	49945	0
"Maine"	"ME"	468978	2	340236	0	48	0
"Maryland"	"MD"	1912788	7	901009	1	13216	0
"Massachusetts"	"MA"	2482596	9	699001	0	145061	0
"Michigan"	"MI"	2688527	7	2402426	7	116732	0
"Minnesota"	"MN"	1554373	4	1474820	4	164616	0
"Mississippi"	"MS"	421014	1	806832	3	0	0
"Missouri"	"MO"	1172135	2	1723982	6	61731	0
"Montana"	"MT"	262340	0	339169	1	0	0
"Nebraska"	"NE"	326018	0	585234	3	30046	0
"Nevada"	"NV"	665526	3	633827	1	56254	0
"New Hampshire"	"NH"	413895	2	354045	0	19162	0
"New Jersey"	"NJ"	2539128	10	1843047	2	50748	0
"New Mexico"	"NM"	495781	2	407786	1	117	0
"New York"	"NY"	5097951	19	2985133	8	144032	0
"North Carolina"	"NC"	2660535	5	2631336	8	33374	0
"North Dakota"	"ND"	97970	0	245229	1	12399	0
"Ohio"	"OH"	2451500	4	3252887	12	57153	0
"Oklahoma"	"OK"	475821	0	1044175	5	24285	0
"Oregon"	"OR"	1285339	4	966786	1	56064	0
"Pennsylvania"	"PA"	3346712	9	3432595	9	0	0
"Rhode Island"	"RI"	312636	2	109894	0	65887	0
"South Carolina"	"SC"	1076799	1	1412684	6	15959	0
"South Dakota"	"SD"	75748	0	321984	1	0	0
"Tennessee"	"TN"	1005537	2	1685255	7	47952	0
"Texas"	"TX"	4586747	13	5099307	23	270241	0
"Utah"	"UT"	505946	0	873347	4	52939	0
"Vermont"	"VT"	238827	1	95830	0	20171	0
"Virginia"	"VA"	2253974	7	2047635	4	33827	0
"Washington"	"WA"	2340356	7	1545436	3	58441	0
"West Virginia"	"WV"	246903	0	514268	3	0	0
"Wisconsin"	"WI"	1566671	3	1661399	5	9981	0
"Wyoming"	"WY"	66576	0	185732	1	18584	0

"Total"	""	76940734	222	72145239	213	2199722	0
